Medicine Name,Condition,Reviews,Ratings,Date,Upvotes
Tretinoin topical,Acne,"Retin-A (tretinoin):			“Started this and I’m just hopeful as I cannot see any results yet.
Rather my acne has gotten terribly worse than it was . I’m still giving it time like they said",5,14-Nov-20,3
Tretinoin topical,Acne,"Retin-A (tretinoin):			“I have been on this for 5 months. I originally tried adapalene and broke into blisters and a rash and was hesitant to try another similar product. My derm said the retin-A was gentler and to start slow and do what I can tolerate. I used it every third day for two weeks and then every other day and continue every other day. I also use aczone but aczone was not effective on its own. My skin is almost completely clear. I don't even use it daily and have not felt this good in a while. I am so happy and can only imagine I will continue to see results. Consistency is key. Best acne product I have ever tried! Finally something that works.",10,5-Oct-20,6
Tretinoin topical,Acne,"Stieva-A (tretinoin):			“This cream is absolutely awful!!! Just a thin covering made my the skin on my whole face peel off more than 6 times and it’s still doing it one week later!!!",1,24-Aug-20,8
Tretinoin topical,Acne,"Retin-A (tretinoin):			“33 yo/female. Had acne since I was 13 yo. Was diagnosed with PCOS. Took birth control for about 15 years also Spironolactone. My acne is very persistent and mainly comedonal especially jaw line/cheeks/upper neck. I stopped birth control and was tired of Spironolactone as taken alone it didn't do much for me. Went on Accutane which was a horrible experience to clear my acne for it to come back just 6 months later. Have been using Retin A 0.01% for 2.5 months and I can see a lot of improvement. My skin is still purging as it's really congested but I can see it's improving gradually and clearing up. It was a real mess in the first 6 weeks. I'm getting less painful acne around my jaw area now and my skin is much softer, the scars are also fading. Will continue the treatment for the rest of my life I believe. Highly recommend it to anyone with hormonal acne who doesn't want to take medication.",10,21-Aug-20,26
Tretinoin topical,Acne,"Retin-A (tretinoin):			“Retin A..wow is all I can say. This product is amazing. I had small stubborn little bumps (clogged pores) and just overall comedonal acne. Retin A has completely cleared my skin and made it look even better than it did before I had acne. My skin so smooth and it just continues to boost my skin confidence. I've been on Retin A for about a year and hse “Retin A micro pump gel 0.06%”.  I did purge a lot and had SLIGHT dryness/irration in the beginning but I didn’t mind it because I WANTED to get rid of the small bumps that were clogged pores. MY TOP ADVICE about this product is using it consistently! This product works slowly (but effectively) and will take some time to produce the wonderful results. Also, I still get a pimple occasionally but no where near what I had. The pimple will usually come and go quickly with this product. I use a mosturizer and a good SPF sunscreen. This is the BEST so stick it out during the purging phase because it is WORTH IT.",10,1-Aug-20,21
Tretinoin topical,Acne,I applied it at night and 2 weeks only gets worst. Feel like giving up,2,29-Jun-20,17
Tretinoin topical,Acne,So I read the reviews and most were bad but I also read good ones. I decided to give tretinoin  a chance and I can honestly say that this tretinoin cream is not for me. I had a severe allergic reaction around my lips and nose . And I have been purging like crazy. When I started this I only had like 3 pimples and smaller ones and hyperpigmentation. I thought maybe the allergic reaction will go away and it has not it burns a lot and I'm seeing my dermatologist on Tuesday and hopefully I get something better but this is just my personal experience it may have not worked for me but it can work for you,1,14-Jun-20,9
Tretinoin topical,Acne,"The first few weeks you feel like giving up. Made my skin look very shiny in a weird way, peeling was hard to cover and the initial purge sucked. That said, like everyone has mentioned on here, it gets better. The purge is cleaning you out, so keep this perspective. I did not feel good about my skin during that time, but so glad I stuck with it. I'm now at week 9 and have 3-4 pimples on my face, skin is super smooth and looks really glowy. Every day keeps getting better. I'm still peeling on and off but its less than it used to be.  Just ease in slowly so you don't get crazy red or peely. I did about 2-3 a week to start and now at 4x a week. Love that this gets rid of hyperpigmentation quickly.",9,4-Jun-20,22
Tretinoin topical,Acne,"I started tretinoin 0.025 about a week ago for moderate teenage acne. So far, no new breakouts. Face is peeling but not super dry if you know what I mean. I have always had sensitive skin as well so my face is more red and splotchy than usual. I am using every other day after shower and Cerave moisturizer. Seems to be helping so far. Will update each week!",10,30-Apr-20,13
Tretinoin topical,Acne,"Retin-A (tretinoin):			“prior to using this cream, I checked reviews. I saw a lot of negatives; people complaining about a face-purge. I was highly discouraged. After a while, I said screw it. I’ve been struggling with acne for a long time now. I’m a 22 year old african male, been struggling with acne since I was 11; that is half of my life. I ignored the negatives and decided to give it a shot. Week 1 and 2 were calm. The purge started on week 3 and it was  horrible! I couldn’t leave my house, my face was a mess. I was nearly compelled to quit but I persevered.  The purge lasted through till week 8. On the 9th week, I noticed little less break outs. I’m on my 11 week now and man! my face is as smooth as a baby’s. I honestly can’t believe this. This is the best my face has been in more than a decade. I'd highly recommend. The purge period is absolutely hectic and discouraging but do not give up. stick to it I promise. advice: Take pictures to track your progress",9,29-Apr-20,61
